Date,Price,IV,-100,-50,-20,0,20,50,100
2020-02-12,770.0,85.5,-14851117.951277316,-7121663.972912464,-2776457.121512562,0.0,2675145.726292737,6487212.338000983,12274365.062286861
2020-02-11,770.0,85.5,-14851117.951277316,-7121663.972912463,-2776457.121512562,0.0,2675145.726292729,6487212.338000982,12274365.06228686
