Expiry,callHedge,putHedge,netHedge,Price
2022-01-22,2948107.852267799,-424889.792852608,2523218.059415191,720.0
2022-03-19,17214.66557470846,-19528.14659088131,-2313.4810161728465,720.0
2022-06-18,2087587.1167392072,-293091.9367302549,1794495.1800089532,720.0
2020-02-15,2647955.2346723913,-1972230.2447963497,675724.9898760422,750.0
2020-02-22,6577339.81296987,-1411640.703960757,5165699.109009116,750.0
2020-02-29,1317533.7807445135,-529590.5164975177,787943.2642469958,750.0
2020-03-07,399005.7195325539,-290274.0798125643,108731.63971998947,750.0
2020-03-14,129393.66272512288,-139457.30349026102,-10063.64076513805,750.0
2020-03-21,8591321.44828752,-1317863.006782713,7273458.441504812,750.0
2020-03-28,54974.789757316874,-17854.275269977104,37120.51448733978,750.0
2020-04-18,1658218.3728568098,-501883.7871677945,1156334.5856890136,750.0
2020-05-16,2195747.0120341266,-600607.6337889725,1595139.3782451532,750.0
2020-06-16,0.0,-15.53232150505693,-15.53232150505693,750.0
2020-06-20,5316671.789790678,-1370299.638443396,3946372.151347282,750.0
2020-07-18,790056.5011187695,-271215.1145370029,518841.3865817659,750.0
2020-08-22,432201.2521547937,-203411.42872722592,228789.82342756796,750.0
2020-09-19,1166428.82372556,-385022.8389364916,781405.9847890681,750.0
2020-10-17,415423.4540461011,-234858.3837422208,180565.07030388014,750.0
2021-01-16,9343953.025935702,-1773293.6923754711,7570659.333560227,750.0
2021-03-20,864783.8734397513,-170474.94787432486,694308.9255654258,750.0
2021-06-19,2425974.305205516,-234450.5535023561,2191523.7517031594,750.0
2021-09-18,318937.47123690735,-33583.425679079875,285354.0455578272,750.0
2022-01-19,8022.894728043424,-1472.9177216259477,6549.977006417476,750.0
2022-01-22,2987217.124216403,-403059.0049797013,2584158.119236702,750.0
2022-03-19,17570.97560344993,-18927.14055803117,-1356.1649545812393,750.0
2022-06-18,2118166.0721130474,-280671.5454548729,1837494.5266581739,750.0
2020-02-15,3152704.7616806356,-1569928.4512485059,1582776.3104321286,770.0
2020-02-22,6930465.671591845,-1218135.4969362023,5712330.174655644,770.0
2020-02-29,1379650.3694530826,-464328.3611232472,915322.0083298347,770.0
2020-03-07,432101.5240018656,-259810.1511818175,172291.37282004804,770.0
2020-03-14,141387.1280752153,-127096.43758492368,14290.6904902916,770.0
2020-03-21,8769532.282399435,-1182012.2102316467,7587520.072167806,770.0
2020-03-28,59221.58399573542,-16138.738178056856,43082.845817678564,770.0
2020-04-18,1718322.240660935,-462248.02953503287,1256074.2111259012,770.0
2020-05-16,2259176.0225830576,-557334.2298759836,1701841.7927070751,770.0
2020-06-16,0.0,-13.448631968434595,-13.448631968434595,770.0
2020-06-20,5411522.997135916,-1288605.069309476,4122917.92782644,770.0
2020-07-18,812713.0682136012,-255344.98194896826,557368.0862646337,770.0
2020-08-22,443855.4406630351,-193119.09792790734,250736.34273512792,770.0
2020-09-19,1184958.210290094,-366027.95154346654,818930.2587466278,770.0
2020-10-17,425486.4076605642,-225793.1050411093,199693.30261945538,770.0
2021-01-16,9433242.217348807,-1689279.5483231738,7743962.6690256335,770.0
2021-03-20,874895.8272174752,-163681.06893492228,711214.7582825522,770.0
2021-06-19,2444488.1187568735,-225626.51953242364,2218861.599224451,770.0
2021-09-18,321264.137940434,-32522.417631704655,288741.7203087293,770.0
2022-01-19,8083.804481419146,-1422.5659213477693,6661.238560071377,770.0
2022-01-22,3011987.7388473237,-389415.87986324105,2622571.858984085,770.0
2022-03-19,17799.183492205277,-18542.887272153454,-743.7037799481745,770.0
2022-06-18,2137605.628559256,-272840.91528423864,1864764.7132750172,770.0
2020-02-15,3717379.6248111026,-1235554.7117283633,2481824.91308274,790.0
2020-02-22,7285426.673926634,-1049538.3322117447,6235888.341714882,790.0
2020-02-29,1441459.6608893308,-406111.17422262434,1035348.4866667057,790.0
2020-03-07,465530.4241805179,-232259.40552496404,233271.01865555378,790.0
2020-03-14,153510.30355694154,-115809.21864108024,37701.084915861284,790.0
2020-03-21,8941785.764992574,-1059850.881821368,7881934.883171193,790.0
2020-03-28,63429.62769380289,-14558.041291317095,48871.5864024858,790.0
2020-04-18,1777049.3086251463,-425739.72736165096,1351309.5812634968,790.0
2020-05-16,2320275.1852635783,-517255.8950270005,1803019.2902365767,790.0
2020-06-16,0.0,-11.659357716017894,-11.659357716017894,790.0
2020-06-20,5502049.396460719,-1212384.6032589066,4289664.793201822,790.0
2020-07-18,834636.5981472065,-240530.5324663678,594106.0656808378,790.0
2020-08-22,455158.55342877156,-183469.15955811788,271689.39387065364,790.0
2020-09-19,1202670.6938865832,-348158.53427754506,854512.1596090384,790.0
2020-10-17,435270.43140025047,-217175.1005358208,218095.33086442962,790.0
2021-01-16,9518275.770625725,-1610305.6843875227,7907970.086238211,790.0
2021-03-20,884582.3838303639,-157253.18354618107,727329.2002841829,790.0
2021-06-19,2462142.78422013,-217254.66508248303,2244888.1191376452,790.0
2021-09-18,323496.04280015436,-31511.510868442132,291984.53193171223,790.0
2022-01-19,8142.033400128092,-1374.6382179941502,6767.3951821339415,790.0
2022-01-22,3035783.502303642,-376444.3433244883,2659339.158979156,790.0
2022-03-19,18020.30971932055,-18171.05793219875,-150.74821287820032,790.0
2022-06-18,2156334.3172809156,-265344.80251960404,1890989.5147613108,790.0
2020-02-15,4648280.324196874,-853678.468283875,3794601.8559129983,820.0
2020-02-22,7817974.220079866,-838338.0223093784,6979636.197770483,820.0
2020-02-29,1533128.7266797603,-331021.9940619946,1202106.7326177664,820.0
2020-03-07,515942.09041057853,-196026.3981780775,319915.6922325013,820.0
2020-03-14,171796.85306432078,-100754.88482712994,71041.96823719086,820.0
2020-03-21,9189323.425710306,-899521.9809705943,8289801.444739715,820.0
2020-03-28,69619.29481939804,-12428.355084863502,57190.93973453455,820.0
2020-04-18,1862480.191188771,-376355.43628022546,1486124.7549085438,820.0
2020-05-16,2407650.744646315,-462629.4870000947,1945021.257646217,820.0
2020-06-16,0.0,-9.434089652998038,-9.434089652998038,820.0
2020-06-20,5630114.447474909,-1107415.7662428315,4522698.681232076,820.0
2020-07-18,866167.7496091214,-220123.52944214465,646044.2201669764,820.0
