Expiry,callHedge,putHedge,netHedge,Price
2020-02-15,1446787.1578705022,-2486245.4470200385,-1039458.289149536,670.0
2020-02-22,5239289.92717612,-2144312.413838452,3094977.5133376666,670.0
2020-02-29,1065974.0294558392,-622537.2343128413,443436.79514299746,670.0
2020-03-07,280807.9220221032,-366991.0342242991,-86183.11220219571,670.0
2020-03-14,75483.6750070465,-154127.96355923597,-78644.28855218936,670.0
2020-03-21,7822496.041726967,-1983272.5759523108,5839223.465774657,670.0
2020-03-28,16245.11686540331,-13709.181983539653,2535.9348818636563,670.0
2020-04-18,1393953.918785004,-672033.8608613565,721920.0579236469,670.0
2020-05-16,1834057.3994056971,-786026.2491505382,1048031.1502551585,670.0
2020-06-16,0.0,-35.320181175329125,-35.320181175329125,670.0
2020-06-20,4882631.936451352,-1759058.297356477,3123573.6390948715,670.0
2020-07-18,684217.5790034836,-336084.24590143835,348133.333102045,670.0
2020-08-22,380801.4013151706,-245473.0500317701,135328.35128340055,670.0
2020-09-19,1093755.7841692225,-461806.5869070344,631949.197262188,670.0
2020-10-17,370419.54020333523,-258115.28035139144,112304.2598519438,670.0
2021-01-16,8998329.182998404,-2132824.152651664,6865505.030346744,670.0
2021-03-20,818935.189912348,-192418.36117039018,626516.8287419579,670.0
2021-06-19,2338655.948327563,-252730.37145608387,2085925.57687148,670.0
2021-09-18,302020.2253187361,-35193.34725184379,266826.87806689215,670.0
2022-01-19,7820.416106731992,-1667.1741379722177,6153.241968759774,670.0
2022-01-22,2868202.6094859834,-427922.99851220223,2440279.610973781,670.0
2022-03-19,7744.443181577017,-13788.270492961257,-6043.82731138424,670.0
2022-06-18,2023633.1944243982,-295536.7304937069,1728096.4639306923,670.0
2020-02-15,2849906.1866734745,-1174062.0916494802,1675844.0950239946,770.0
2020-02-22,6845134.684545498,-1113007.4017851055,5732127.282760386,770.0
2020-02-29,1336314.1419398994,-344470.8439914001,991843.2979484993,770.0
2020-03-07,428454.0940372978,-230090.4738529456,198363.62018435204,770.0
2020-03-14,119815.89247762073,-103105.19457795637,16710.69789966437,770.0
2020-03-21,8738450.20637964,-1180555.6874645778,7557894.518915056,770.0
2020-03-28,25199.652226152648,-8666.690502504292,16532.96172364835,770.0
2020-04-18,1681284.157867649,-452253.3167167997,1229030.8411508503,770.0
2020-05-16,2121709.4501513946,-547809.7394540884,1573899.7106973063,770.0
2020-06-16,0.0,-18.12966920609189,-18.12966920609189,770.0
2020-06-20,5368156.618275579,-1297131.8246716796,4071024.793603895,770.0
2020-07-18,793517.8917252198,-250286.00751978817,543231.8842054325,770.0
2020-08-22,437230.73575834325,-189457.63431293255,247773.10144541052,770.0
2020-09-19,1189755.224029005,-359942.94856619765,829812.2754628077,770.0
2020-10-17,418059.18680214765,-212170.2223367497,205888.96446539785,770.0
2021-01-16,9467970.133631635,-1678507.034174181,7789463.099457474,770.0
2021-03-20,869817.9695738637,-156949.93385202409,712868.0357218392,770.0
2021-06-19,2433820.362427912,-208016.56710693814,2225803.7953209765,770.0
2021-09-18,313509.6264980855,-29977.273632066066,283532.3528660194,770.0
2022-01-19,8132.700160429954,-1404.8951157765637,6727.805044653391,770.0
2022-01-22,2991130.8424453707,-360357.72038858605,2630773.1220567836,770.0
2022-03-19,8377.566132968965,-12575.567439709293,-4198.001306740326,770.0
2022-06-18,2117970.5175220026,-256666.30647602677,1861304.2110459749,770.0
2020-02-15,4655875.2827360155,-488941.3173496404,4166933.965386372,870.0
2020-02-22,8337294.508899943,-577456.4825600156,7759838.0263399305,870.0
2020-02-29,1581668.2244984221,-184095.83070497902,1397572.3937934423,870.0
2020-03-07,578868.1461383684,-139719.55663127956,439148.5895070894,870.0
2020-03-14,166371.14542156635,-69234.37951545938,97136.76590610703,870.0
2020-03-21,9490499.308831166,-700891.9546220005,8789607.354209162,870.0
2020-03-28,33695.847516407106,-5225.539371262353,28470.308145144747,870.0
2020-04-18,1931983.0473232756,-304711.5018052931,1627271.545517983,870.0
2020-05-16,2355490.4008189216,-383877.40832791454,1971612.9924910069,870.0
2020-06-16,0.0,-9.593944985664491,-9.593944985664491,870.0
2020-06-20,5750608.62743316,-969637.1097483739,4780971.517684784,870.0
2020-07-18,885512.6001944048,-188790.4603423517,696722.139852054,870.0
2020-08-22,485251.64895036106,-148646.41602027128,336605.2329300898,870.0
2020-09-19,1266375.2277530436,-284415.23917634395,981959.9885767014,870.0
2020-10-17,458893.1028173174,-176385.90124761098,282507.2015697063,870.0
2021-01-16,9836718.48567201,-1342818.303372511,8493900.182299497,870.0
2021-03-20,910771.9555177315,-129959.90540012054,780812.0501176111,870.0
2021-06-19,2508905.942264438,-173662.99586252746,2335242.946401913,870.0
2021-09-18,322854.3967988589,-25873.808556606185,296980.5882422527,870.0
2022-01-19,8382.65515298524,-1199.041754029379,7183.613398955861,870.0
2022-01-22,3091573.547243407,-307727.1298784603,2783846.417364948,870.0
2022-03-19,8926.757744767725,-11530.374434821964,-2603.6166900542376,870.0
2022-06-18,2196093.774321223,-225371.270684581,1970722.5036366428,870.0
